id,X,Y,zipcode,greening_rate,plot_area,first_hand,price,distance,b_subway,n_school
168254,116.4024749,39.99274681,100101,25,1.3,f,57868,0.005956858,1,0
168321,116.4640497,39.89408494,100022,25,1.3,f,78485,0.005073281,1,0
171554,116.3832743,39.85217946,100068,25,1.3,f,49897,0.004217709,1,0
171771,116.1889336,39.91760364,100043,25,1.3,f,49593,0.042970833,1,0
172191,116.3713823,39.9051477,100031,25,1.3,f,138732,0.000730809,1,1
170283,116.2474888,39.91646731,100039,26,1.3,f,44320,0.022121389,1,0
165264,116.6782337,39.89229605,101101,30,1.3,f,29308,0.080085103,0,0
165419,116.6570146,39.9100113,101199,30,1.3,f,37348,0.068047564,1,0
165478,116.6474917,39.90326109,101100,30,1.3,f,52423,0.063295193,1,0
165509,116.6313363,39.90289004,101121,30,1.3,f,38976,0.055446858,1,0
165524,116.6419909,39.90257302,101199,30,1.3,f,41205,0.060578818,1,0
165606,116.6494331,39.89663643,101101,30,1.3,f,36451,0.064484883,1,0
